name,max_road_spd_kph,max_on_road_grad,max_off_road_grad,vehicle_width_m,max_override_diameter_m,vci_1,vci_50,min_turning_radius_m,locomotion_type,mmp_kpa,nation,source,note
JLTV_M1278,110,60,40,2.5,0.08,19,44,8.4,0,244,US,derived,"4x4 ~6.4t, CTIS"
HMMWV_M1151,113,60,40,2.3,0.06,20,46,7.6,0,256,US,derived,up-armored 4x4
MaxxPro_MRAP,100,60,30,2.55,0.08,22,52,9.0,0,289,US,derived,MRAP 4x4 ~17t
FMTV_M1078,94,60,30,2.44,0.08,23,54,7.8,0,300,US,derived,2.5-ton 4x4 truck
HEMTT_M977,88,60,30,2.44,0.1,24,56,9.6,0,311,US,derived,8x8 heavy truck ~17t
PLS_M1075,84,60,30,2.5,0.1,25,58,11.4,0,322,US,derived,10x10 palletized load system
T-72B3,60,58,45,3.46,0.18,25,58,9.2,1,104,Russia,derived,modernized T-72 ~46t
T-80U,70,60,45,3.6,0.18,25,58,8.5,1,104,Russia,derived,gas-turbine MBT ~46t
T-90M,60,58,45,3.78,0.18,24,56,8.7,1,100,Russia,derived,T-90M Proryv ~48t
T-14_Armata,75,60,45,3.9,0.2,22,52,8.5,1,93,Russia,derived,next-gen MBT ~55t (limited fielding)
BMP-1,65,60,45,2.94,0.1,16,37,6.5,1,66,Russia,derived,"tracked IFV ~13t, amphibious"
BMP-2,65,60,45,3.15,0.1,16,38,6.5,1,68,Russia,derived,tracked IFV ~14t
BMP-3,70,60,45,3.3,0.12,17,40,6.7,1,71,Russia,derived,tracked IFV ~18.7t
BMD-4,67,60,45,3.11,0.08,15,36,5.5,1,64,Russia,derived,airborne IFV ~13.5t
MT-LB,62,60,45,2.86,0.08,13,30,6.0,1,54,Russia,derived,"multipurpose tracked, very low ground pressure ~28kPa"
BTR-80,90,60,30,2.9,0.1,20,46,7.4,0,256,Russia,derived,"8x8 APC ~13.6t, amphibious"
BTR-82A,90,60,30,2.9,0.1,20,46,7.4,0,256,Russia,derived,8x8 APC ~15.4t
2S1_Gvozdika,60,60,45,2.85,0.1,17,40,6.5,1,71,Russia,derived,"122mm SP howitzer ~15.7t, amphibious"
2S3_Akatsiya,60,60,45,3.25,0.12,22,52,7.0,1,93,Russia,derived,152mm SP howitzer ~27.5t
2S19_Msta-S,60,58,45,3.58,0.15,24,55,7.5,1,98,Russia,derived,152mm SP howitzer ~42t
BM-21_Grad,75,60,30,2.69,0.1,24,55,9.0,0,306,Russia,derived,6x6 Ural rocket artillery
Ural-4320,85,60,28,2.5,0.1,24,56,9.5,0,311,Russia,derived,6x6 general cargo truck
KamAZ_Typhoon,100,60,30,2.55,0.08,23,54,9.5,0,300,Russia,derived,6x6 MRAP ~24t
Tigr_GAZ-2330,125,60,35,2.3,0.06,20,46,6.5,0,256,Russia,derived,4x4 utility ~7t
BREM-1,50,60,35,3.46,0.0,24,55,9.2,1,98,Russia,derived,T-72-based recovery vehicle
IMR-2,50,60,40,3.48,0.0,22,52,8.0,1,93,Russia,derived,tracked combat engineer vehicle
